"These are the fields that Telarus, our main distributor, uses to report by vendor.  We will need to create templates to match our fields to theirs.  We will display different field ""label names"" on these fields for our own understanding.",,,,,,,,
The fields in 7-10 are common fields that all templates will use.  ,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Template Map Name,Origin,CompanyName,templateId,commissionType,fieldId,Telarus CommonFields,New Commissable Field Label,
Telarus-8x8 ANZ,Telarus,8x8 ANZ,1584,Residual,294,Activation Commission,Actual Commission,
Telarus-8x8 ANZ,Telarus,8x8 ANZ,1584,Residual,293,Equipment Commission,Actual Commission,
Telarus-8x8 ANZ,Telarus,8x8 ANZ,1584,Residual,290,Residual Commission,Actual Commission,
Telarus-8x8 CAD,Telarus,8x8 CAD,2205,Residual,294,Activation Commission,Actual Commission,
Telarus-8x8 CAD,Telarus,8x8 CAD,2205,Residual,293,Equipment Commission,Actual Commission,
Telarus-8x8 CAD,Telarus,8x8 CAD,2205,Residual,290,Residual Commission,Actual Commission,
Telarus-AireSpring,Telarus,AireSpring,2414,Residual,126,EX Commission,Actual Commission,
Telarus-Broadvoice,Telarus,Broadvoice,1657,Residual,397,Bandwidth Commission,Actual Commission,
Telarus-Broadvoice,Telarus,Broadvoice,1747,NULL,397,Bandwidth Commission,Actual Commission,
Telarus-Broadvoice,Telarus,Broadvoice,1657,Residual,396,Bandwidth MRC,Actual Commission,
Telarus-Broadvoice,Telarus,Broadvoice,1747,NULL,396,Bandwidth MRC,Actual Commission,
Telarus-Broadvoice,Telarus,Broadvoice,1657,Residual,472,Data Commission,Actual Commission,
Telarus-Broadvoice,Telarus,Broadvoice,1747,NULL,472,Data Commission,Actual Commission,
Telarus-Broadvoice,Telarus,Broadvoice,1657,Residual,293,Equipment Commission,Actual Commission,
Telarus-Broadvoice,Telarus,Broadvoice,1747,NULL,293,Equipment Commission,Actual Commission,
Telarus-Broadvoice,Telarus,Broadvoice,1657,Residual,478,NRC Commission,Actual Commission,
Telarus-Broadvoice,Telarus,Broadvoice,1747,NULL,478,NRC Commission,Actual Commission,
Telarus-Broadvoice,Telarus,Broadvoice,1657,Residual,474,Service Commission,Actual Commission,
Telarus-Broadvoice,Telarus,Broadvoice,1747,NULL,474,Service Commission,Actual Commission,
Telarus-Broadvoice,Telarus,Broadvoice,1657,Residual,473,Voice Commission,Actual Commission,
Telarus-Broadvoice,Telarus,Broadvoice,1747,NULL,473,Voice Commission,Actual Commission,
Telarus-BullsEye,Telarus,BullsEye,2235,Residual,474,Service Commission,Actual Commission,
Telarus-CallTower,Telarus,CallTower,2444,Residual,256,Residual Amount Due,Actual Commission,
Telarus-Comcast Business,Telarus,Comcast Business,2094,Residual,256,Residual Amount Due,Actual Commission,
Telarus-Data Canopy,Telarus,Data Canopy,1804,Residual,397,Bandwidth Commission,Actual Commission,
Telarus-Data Canopy,Telarus,Data Canopy,1804,Residual,396,Bandwidth MRC,Actual Commission,
Telarus-Data Canopy,Telarus,Data Canopy,1804,Residual,389,Colo Commission,Actual Commission,
Telarus-Data Canopy,Telarus,Data Canopy,1804,Residual,399,Licenses Commission,Actual Commission,
Telarus-Data Canopy,Telarus,Data Canopy,1804,Residual,393,Private Cloud Commission,Actual Commission,
Telarus-Data Canopy,Telarus,Data Canopy,1804,Residual,395,Storage Commission,Actual Commission,
Telarus-Graphene Networks Inc.,Telarus,Graphene Networks Inc.,2219,Residual,332,Sales Commission,Actual Commission,
Telarus-Keystone Solutions,Telarus,Keystone Solutions,2382,Residual,332,Sales Commission,Actual Commission,
Telarus-NuWave Communications,Telarus,NuWave Communications,2272,Residual,59,MRC Commission,Actual Commission,
