"These are the fields that Telarus, our main distributor, uses to report by vendor.  We will need to create templates to match our fields to theirs.  We will display different field ""label names"" on these fields for our own understanding.",,,,,,,,
The fields in 7-10 are common fields that all templates will use.  ,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Template Map Name,Origin,CompanyName,templateId,commissionType,fieldId,Telarus CommonFields,New Commissable Field Label,
Telarus-8x8,Telarus,8x8,1937,Residual,132,Bonus,Bonus,
Telarus-8x8 ANZ,Telarus,8x8 ANZ,1584,Residual,132,Bonus,Bonus,
Telarus-8x8 CAD,Telarus,8x8 CAD,2205,Residual,132,Bonus,Bonus,
Telarus-AireSpring,Telarus,AireSpring,2414,Residual,132,Bonus,Bonus,
Telarus-Telesystem,Telarus,Telesystem,2019,Residual,132,Bonus,Bonus,
Telarus-AireSpring,Telarus,AireSpring,2414,Residual,141,Bonus Type,Bonus Type,
Telarus-Cisco,Telarus,Cisco,2578,Residual,508,Booked Date,Booked Date,
Telarus-Altafiber,Telarus,Altafiber,2461,Residual,56,BTN,BTN,
Telarus-AT&T,Telarus,AT&T,1996,Residual,56,BTN,BTN,
Telarus-CBTS,Telarus,CBTS,2483,Residual,56,BTN,BTN,
Telarus-Cisco,Telarus,Cisco,2578,Residual,56,BTN,BTN,
Telarus-MetTel,Telarus,MetTel,2533,Residual,56,BTN,BTN,
Telarus-MetTel CAD,Telarus,MetTel CAD,2532,Residual,56,BTN,BTN,
Telarus-Coresite,Telarus,Coresite,2466,Residual,147,Building Id,Building Id,
Telarus-Coresite,Telarus,Coresite,2466,Residual,148,Building Name,Building Name,
Telarus-EnTelegent Solutions,Telarus,EnTelegent Solutions,2400,Residual,148,Building Name,Building Name,
Telarus-Expereo,Telarus,Expereo,2571,Residual,148,Building Name,Building Name,
Telarus-NTT Cloud Communications,Telarus,NTT Cloud Communications,2561,Residual,39,Call Date,Call Date,
Telarus-Verizon Direct,Telarus,Verizon Direct,2216,Residual,259,Cancel / Disco,Cancel Date,
Telarus-AT&T,Telarus,AT&T,1996,Residual,75,Cancel Date,Cancel Date,
Telarus-Cisco,Telarus,Cisco,2578,Residual,75,Cancel Date,Cancel Date,
Telarus-Cogent Communications CAD,Telarus,Cogent Communications CAD,2534,Residual,75,Cancel Date,Cancel Date,
Telarus-Expereo,Telarus,Expereo,2571,Residual,75,Cancel Date,Cancel Date,
Telarus-TPx,Telarus,TPx,2529,Residual,192,Channel,Channel Manager,
Telarus-vCom Solutions,Telarus,vCom Solutions,1600,Residual,192,Channel,Channel Manager,
Telarus-Ntegrated,Telarus,Ntegrated,2567,Residual,581,Channel Manager,Channel Manager,
Telarus-Ntegrated,Telarus,Ntegrated,2568,NULL,581,Channel Manager,Channel Manager,
Telarus-8x8,Telarus,8x8,1937,Residual,25,Charge Date,Billing Period,
Telarus-8x8 ANZ,Telarus,8x8 ANZ,1584,Residual,25,Charge Date,Billing Period,
Telarus-8x8 CAD,Telarus,8x8 CAD,2205,Residual,25,Charge Date,Billing Period,
Telarus-Coresite,Telarus,Coresite,2466,Residual,25,Charge Date,Billing Period,
Telarus-Brightspeed,Telarus,Brightspeed,2430,Residual,194,Charge Type,Charge Type,
Telarus-Colt,Telarus,Colt,2485,Residual,194,Charge Type,Charge Type,
Telarus-Fuze UK,Telarus,Fuze UK,2313,Residual,194,Charge Type,Charge Type,
Telarus-Lumen,Telarus,Lumen,2427,Residual,194,Charge Type,Charge Type,
Telarus-Momentum Telecom,Telarus,Momentum Telecom,2523,Residual,194,Charge Type,Charge Type,
Telarus-Net2Phone Canada,Telarus,Net2Phone Canada,1870,Residual,194,Charge Type,Charge Type,
Telarus-TPx,Telarus,TPx,2529,Residual,194,Charge Type,Charge Type,
Telarus-vCom Solutions,Telarus,vCom Solutions,1600,Residual,194,Charge Type,Charge Type,
Telarus-Zayo,Telarus,Zayo,2440,Residual,194,Charge Type,Charge Type,
Telarus-Zayo CAD,Telarus,Zayo CAD,2401,Residual,194,Charge Type,Charge Type,
Telarus-Zayo UK,Telarus,Zayo UK,2407,Residual,194,Charge Type,Charge Type,
Telarus-Broadvoice,Telarus,Broadvoice,1657,Residual,220,Chargeback Balance,Chargeback Balance,
Telarus-Broadvoice,Telarus,Broadvoice,1747,NULL,220,Chargeback Balance,Chargeback Balance,
Telarus-Zayo,Telarus,Zayo,2404,Residual,214,Charges (R),Charges (R),
Telarus-Brightspeed,Telarus,Brightspeed,2430,Residual,496,CIE Reduction Percent,CIE Reduction Percent,
Telarus-Lumen,Telarus,Lumen,2427,Residual,496,CIE Reduction Percent,CIE Reduction Percent,
Telarus-AT&T,Telarus,AT&T,1996,Residual,47,Circuit Id,Circuit Id,
Telarus-Brightspeed,Telarus,Brightspeed,2430,Residual,47,Circuit Id,Circuit Id,
Telarus-China Telecom,Telarus,China Telecom,2172,Residual,47,Circuit Id,Circuit Id,
Telarus-Cisco,Telarus,Cisco,2578,Residual,47,Circuit Id,Circuit Id,
Telarus-Colt,Telarus,Colt,2485,Residual,47,Circuit Id,Circuit Id,
Telarus-Fusion Connect,Telarus,Fusion Connect,2536,Residual,47,Circuit Id,Circuit Id,
Telarus-Lumen,Telarus,Lumen,2427,Residual,47,Circuit Id,Circuit Id,
Telarus-Unite Private Networks,Telarus,Unite Private Networks,2425,Residual,47,Circuit Id,Circuit Id,
Telarus-Zayo,Telarus,Zayo,2440,Residual,47,Circuit Id,Circuit Id,
Telarus-Zayo CAD,Telarus,Zayo CAD,2401,Residual,47,Circuit Id,Circuit Id,
Telarus-Zayo UK,Telarus,Zayo UK,2407,Residual,47,Circuit Id,Circuit Id,
Telarus-8x8,Telarus,8x8,1937,Residual,296,Clawback,Clawback,
Telarus-8x8 ANZ,Telarus,8x8 ANZ,1584,Residual,296,Clawback,Clawback,
Telarus-8x8 CAD,Telarus,8x8 CAD,2205,Residual,296,Clawback,Clawback,
Telarus-8x8,Telarus,8x8,1937,Residual,18,Order Date,Close Date,
Telarus-8x8 ANZ,Telarus,8x8 ANZ,1584,Residual,18,Order Date,Close Date,
Telarus-8x8 CAD,Telarus,8x8 CAD,2205,Residual,18,Order Date,Close Date,
Telarus-APx Net,Telarus,APx Net,2555,Residual,18,Order Date,Close Date,
Telarus-AT&T,Telarus,AT&T,1996,Residual,18,Order Date,Close Date,
Telarus-Broadvoice,Telarus,Broadvoice,1657,Residual,221,Closed Won Date,Close Date,
Telarus-Broadvoice,Telarus,Broadvoice,1747,NULL,221,Closed Won Date,Close Date,
Telarus-BullsEye,Telarus,BullsEye,2235,Residual,18,Order Date,Close Date,
Telarus-CentraCom,Telarus,CentraCom,2541,Residual,18,Order Date,Close Date,
Telarus-Cologix,Telarus,Cologix,1838,Residual,18,Order Date,Close Date,
Telarus-Cologix CAD,Telarus,Cologix CAD,2227,Residual,18,Order Date,Close Date,
Telarus-Comcast Business,Telarus,Comcast Business,2094,Residual,18,Order Date,Close Date,
Telarus-Cox Communications,Telarus,Cox Communications,2570,Residual,18,Order Date,Close Date,
Telarus-Expereo,Telarus,Expereo,2571,Residual,18,Order Date,Close Date,
Telarus-Nextiva,Telarus,Nextiva,2256,Residual,18,Order Date,Close Date,
Telarus-Nextiva CAD,Telarus,Nextiva CAD,1541,Residual,18,Order Date,Close Date,
Telarus-NTT Cloud Communications,Telarus,NTT Cloud Communications,2561,Residual,18,Order Date,Close Date,
Telarus-Ooma,Telarus,Ooma,2528,Residual,18,Order Date,Close Date,
Telarus-Ooma CAD,Telarus,Ooma CAD,2547,Residual,18,Order Date,Close Date,
Telarus-Optimum Business,Telarus,Optimum Business,1609,Residual,18,Order Date,Close Date,
Telarus-Optimum Business,Telarus,Optimum Business,2500,Residual,18,Order Date,Close Date,
Telarus-Otava,Telarus,Otava,2363,Residual,18,Order Date,Close Date,
Telarus-RSI,Telarus,RSI,2438,Residual,221,Closed Won Date,Close Date,
Telarus-Synoptek,Telarus,Synoptek,1951,Residual,502,Close Date,Close Date,
Telarus-ujet.cx,Telarus,ujet.cx,2557,Residual,18,Order Date,Close Date,
Telarus-Wireless Watchdogs,Telarus,Wireless Watchdogs,2166,Residual,18,Order Date,Close Date,
Telarus-Xcitium,Telarus,Xcitium,2586,Residual,18,Order Date,Close Date,
Telarus-ACC Business,Telarus,ACC Business,2364,Residual,276,Comments,Comments,
Telarus-Aryaka,Telarus,Aryaka,1964,Residual,276,Comments,Comments,
Telarus-Brightspeed,Telarus,Brightspeed,2430,Residual,276,Comments,Comments,
Telarus-Dizzion,Telarus,Dizzion,1582,Residual,276,Comments,Comments,
Telarus-Lumen,Telarus,Lumen,2427,Residual,276,Comments,Comments,
Telarus-Ntegrated,Telarus,Ntegrated,2568,NULL,276,Comments,Comments,
Telarus-Ontinue,Telarus,Ontinue,1615,Residual,276,Comments,Comments,
Telarus-Rise Broadband,Telarus,Rise Broadband,2508,Residual,276,Comments,Comments,
Telarus-Rogers Communications CAD,Telarus,Rogers Communications CAD,2408,Bonus,276,Comments,Comments,
Telarus-Spectrum,Telarus,Spectrum,2381,Residual,276,Comments,Comments,
Telarus-Spectrum Business CAD,Telarus,Spectrum Business CAD,2383,Residual,276,Comments,Comments,
Telarus-TeligentIP,Telarus,TeligentIP,2527,Residual,276,Comments,Comments,
Telarus-Vodafone,Telarus,Vodafone,2389,Residual,276,Comments,Comments,
Telarus-WOW Business,Telarus,WOW Business,2210,Residual,276,Comments,Comments,
Telarus-Cogent Communications CAD,Telarus,Cogent Communications CAD,2534,Residual,302,Commission Currency,Do not map,
Telarus-Open Systems,Telarus,Open Systems,2342,Residual,302,Commission Currency,Do not map,
Telarus-Open Systems UK,Telarus,Open Systems UK,2343,Residual,302,Commission Currency,Do not map,
Telarus-Cato Networks,Telarus,Cato Networks,1796,Residual,31,Commission Due,Actual Commission,
Telarus-Cato Networks,Telarus,Cato Networks,1815,Residual,31,Commission Due,Actual Commission,
Telarus-Cogent Communications CAD,Telarus,Cogent Communications CAD,2534,Residual,31,Commission Due,Actual Commission,
Telarus-Thryv,Telarus,Thryv,2251,Residual,31,Commission Due,Actual Commission,
Telarus-Equinix,Telarus,Equinix,1596,Residual,551,Commission End Date,Billing Period,
Telarus-Equinix CAD,Telarus,Equinix CAD,1719,Residual,551,Commission End Date,Billing Period,
Telarus-Equinix UK,Telarus,Equinix UK,2024,Residual,551,Commission End Date,Billing Period,
Telarus-Telesystem,Telarus,Telesystem,2019,Residual,434,Commission Generated Date,Billing Period,
Telarus-8x8,Telarus,8x8,1937,Residual,24,Commission Order Date,Billing Period,
Telarus-8x8 ANZ,Telarus,8x8 ANZ,1584,Residual,24,Commission Order Date,Billing Period,
Telarus-8x8 CAD,Telarus,8x8 CAD,2205,Residual,24,Commission Order Date,Billing Period,
Telarus-Cogent Communications CAD,Telarus,Cogent Communications CAD,2534,Residual,432,Commission Paid Date,Commission Paid Date,
Telarus-GHA Technologies,Telarus,GHA Technologies,2544,Residual,432,Commission Paid Date,Commission Paid Date,
Telarus-Logically,Telarus,Logically,2591,Residual,432,Commission Paid Date,Commission Paid Date,
Telarus-Telesystem,Telarus,Telesystem,2019,Residual,432,Commission Paid Date,Commission Paid Date,
Telarus-11:11 ANZ,Telarus,11:11 ANZ,2312,Residual,17,Commission Type,Commission Type,
Telarus-11:11 CAD,Telarus,11:11 CAD,2014,Residual,17,Commission Type,Commission Type,
Telarus-11:11 UK,Telarus,11:11 UK,1903,Residual,17,Commission Type,Commission Type,
Telarus-8x8,Telarus,8x8,1937,Residual,17,Commission Type,Commission Type,
Telarus-8x8 ANZ,Telarus,8x8 ANZ,1584,Residual,17,Commission Type,Commission Type,
Telarus-8x8 CAD,Telarus,8x8 CAD,2205,Residual,17,Commission Type,Commission Type,
Telarus-ACC Business,Telarus,ACC Business,2364,Residual,17,Commission Type,Commission Type,
Telarus-AireSpring,Telarus,AireSpring,2414,Residual,17,Commission Type,Commission Type,
Telarus-Brightspeed,Telarus,Brightspeed,2430,Residual,17,Commission Type,Commission Type,
Telarus-Command Link,Telarus,Command Link,1688,Residual,17,Commission Type,Commission Type,
Telarus-Fusion Connect,Telarus,Fusion Connect,2536,Residual,17,Commission Type,Commission Type,
Telarus-Fuze UK,Telarus,Fuze UK,2313,Residual,17,Commission Type,Commission Type,
Telarus-G12 Communications,Telarus,G12 Communications,2378,Residual,17,Commission Type,Commission Type,
Telarus-Lumen,Telarus,Lumen,2427,Residual,17,Commission Type,Commission Type,
Telarus-Peerless Network UK,Telarus,Peerless Network UK,1662,Residual,17,Commission Type,Commission Type,
Telarus-Quest Technology Management,Telarus,Quest Technology Management,2070,Residual,17,Commission Type,Commission Type,
"Telarus-Syringa Networks, LLC",Telarus,"Syringa Networks, LLC",2518,Residual,17,Commission Type,Commission Type,
Telarus-TelSynergy,Telarus,TelSynergy,2340,Residual,17,Commission Type,Commission Type,
Telarus-vCom Solutions,Telarus,vCom Solutions,1600,Residual,17,Commission Type,Commission Type,
Telarus-0.465972222222222,Telarus,11:11,1700,Residual,297,Commission Type 2,Commission Type,
Telarus-0.465972222222222,Telarus,11:11,1962,Residual,297,Commission Type 2,Commission Type,
Telarus-8x8,Telarus,8x8,1937,Residual,297,Commission Type 2,Commission Type,
Telarus-8x8 ANZ,Telarus,8x8 ANZ,1584,Residual,297,Commission Type 2,Commission Type,
Telarus-8x8 CAD,Telarus,8x8 CAD,2205,Residual,297,Commission Type 2,Commission Type,
Telarus-TelSynergy,Telarus,TelSynergy,2340,Residual,297,Commission Type 2,Commission Type,
Telarus-vCom Solutions,Telarus,vCom Solutions,1600,Residual,297,Commission Type 2,Commission Type,
Telarus-Cogent Communications CAD,Telarus,Cogent Communications CAD,2534,Residual,79,Commission Withheld for Billing Deliquency,Do not map,
Telarus-8x8,Telarus,8x8,1937,Residual,175,Commissionable Month,Billing Period,
Telarus-8x8 ANZ,Telarus,8x8 ANZ,1584,Residual,175,Commissionable Month,Billing Period,
Telarus-8x8 CAD,Telarus,8x8 CAD,2205,Residual,175,Commissionable Month,Billing Period,
Telarus-Ancero,Telarus,Ancero,2021,Residual,175,Commissionable Month,Billing Period,
Telarus-Broadvoice,Telarus,Broadvoice,1657,Residual,175,Commissionable Month,Billing Period,
Telarus-Broadvoice,Telarus,Broadvoice,1747,NULL,175,Commissionable Month,Billing Period,
Telarus-Colt,Telarus,Colt,2485,Residual,175,Commissionable Month,Billing Period,
Telarus-Comm-Core,Telarus,Comm-Core,2566,Residual,175,Commissionable Month,Billing Period,
Telarus-GTT,Telarus,GTT,2448,Residual,175,Commissionable Month,Billing Period,
Telarus-GTT CAD,Telarus,GTT CAD,2447,Residual,175,Commissionable Month,Billing Period,
Telarus-Natural Wireless,Telarus,Natural Wireless,2376,Residual,175,Commissionable Month,Billing Period,
Telarus-Ntirety,Telarus,Ntirety,1818,Residual,175,Commissionable Month,Billing Period,
Telarus-NuWave Communications,Telarus,NuWave Communications,2272,Residual,175,Commissionable Month,Billing Period,
Telarus-Viasat,Telarus,Viasat,2546,Residual,175,Commissionable Month,Billing Period,
Telarus-VocalIP,Telarus,VocalIP,1701,Residual,175,Commissionable Month,Billing Period,
Telarus-Cisco,Telarus,Cisco,2578,Residual,506,Common Denominator,Common Denominator,
Telarus-AT&T,Telarus,AT&T,1996,Residual,535,Completion Date,Completion Date,
Telarus-AT&T,Telarus,AT&T,1996,Residual,532,Component,Component,
Telarus-Spectrum,Telarus,Spectrum,2381,Residual,462,Connect Date,Connect Date,
Telarus-Spectrum Business CAD,Telarus,Spectrum Business CAD,2383,Residual,462,Connect Date,Connect Date,
Telarus-Vodafone,Telarus,Vodafone,2389,Residual,462,Connect Date,Connect Date,
Telarus-RingCentral,Telarus,RingCentral,2115,Residual,418,Contact Center MRS,Contact Center MRS,
Telarus-RingCentral ANZ,Telarus,RingCentral ANZ,1644,Residual,418,Contact Center MRS,Contact Center MRS,
Telarus-RingCentral CAD,Telarus,RingCentral CAD,1559,Residual,418,Contact Center MRS,Contact Center MRS,
Telarus-Ringcentral EURO,Telarus,Ringcentral EURO,2564,Residual,418,Contact Center MRS,Contact Center MRS,
Telarus-RingCentral UK,Telarus,RingCentral UK,1638,Residual,418,Contact Center MRS,Contact Center MRS,
Telarus-RingCentral,Telarus,RingCentral,2115,Residual,426,Contact Center Residual Amount,Contact Center Residual Amount,
Telarus-RingCentral ANZ,Telarus,RingCentral ANZ,1644,Residual,426,Contact Center Residual Amount,Contact Center Residual Amount,
Telarus-RingCentral CAD,Telarus,RingCentral CAD,1559,Residual,426,Contact Center Residual Amount,Contact Center Residual Amount,
Telarus-Ringcentral EURO,Telarus,Ringcentral EURO,2564,Residual,426,Contact Center Residual Amount,Contact Center Residual Amount,
Telarus-RingCentral UK,Telarus,RingCentral UK,1638,Residual,426,Contact Center Residual Amount,Contact Center Residual Amount,
Telarus-RingCentral,Telarus,RingCentral,2115,Residual,425,Contact Center Residual Percent,Contact Center Residual Percent,
Telarus-RingCentral ANZ,Telarus,RingCentral ANZ,1644,Residual,425,Contact Center Residual Percent,Contact Center Residual Percent,
Telarus-RingCentral CAD,Telarus,RingCentral CAD,1559,Residual,425,Contact Center Residual Percent,Contact Center Residual Percent,
Telarus-Ringcentral EURO,Telarus,Ringcentral EURO,2564,Residual,425,Contact Center Residual Percent,Contact Center Residual Percent,
Telarus-RingCentral UK,Telarus,RingCentral UK,1638,Residual,425,Contact Center Residual Percent,Contact Center Residual Percent,
Telarus-0.465972222222222,Telarus,11:11,1700,Residual,562,Contract,Contract Term,
Telarus-0.465972222222222,Telarus,11:11,1962,Residual,562,Contract,Contract Term,
Telarus-11:11 ANZ,Telarus,11:11 ANZ,2312,Residual,562,Contract,Contract Term,
Telarus-11:11 CAD,Telarus,11:11 CAD,2014,Residual,562,Contract,Contract Term,
Telarus-11:11 UK,Telarus,11:11 UK,1903,Residual,562,Contract,Contract Term,
Telarus-eSentire,Telarus,eSentire,2480,Residual,562,Contract,Contract Term,
Telarus-eSentire,Telarus,eSentire,2491,Residual,562,Contract,Contract Term,
Telarus-Esentire ANZ,Telarus,Esentire ANZ,2481,Residual,562,Contract,Contract Term,
Telarus-eSentire CAD,Telarus,eSentire CAD,2490,Residual,562,Contract,Contract Term,
Telarus-Avaya,Telarus,Avaya,2560,Residual,169,Contract End Date,Contract End Date,
Telarus-Avaya ANZ,Telarus,Avaya ANZ,2558,Residual,169,Contract End Date,Contract End Date,
Telarus-Avaya CAD,Telarus,Avaya CAD,2559,Residual,169,Contract End Date,Contract End Date,
Telarus-Avaya UK,Telarus,Avaya UK,2456,Residual,169,Contract End Date,Contract End Date,
Telarus-China Telecom,Telarus,China Telecom,2172,Residual,169,Contract End Date,Contract End Date,
Telarus-Cisco,Telarus,Cisco,2578,Residual,169,Contract End Date,Contract End Date,
Telarus-GTT,Telarus,GTT,2448,Residual,169,Contract End Date,Contract End Date,
Telarus-GTT CAD,Telarus,GTT CAD,2447,Residual,169,Contract End Date,Contract End Date,
Telarus-GWI (Great Works Internet),Telarus,GWI (Great Works Internet),1801,Residual,169,Contract End Date,Contract End Date,
Telarus-Netwolves,Telarus,Netwolves,1610,Residual,169,Contract End Date,Contract End Date,
Telarus-Open Systems,Telarus,Open Systems,2342,Residual,169,Contract End Date,Contract End Date,
Telarus-Open Systems UK,Telarus,Open Systems UK,2343,Residual,169,Contract End Date,Contract End Date,
Telarus-Synoptek,Telarus,Synoptek,1951,Residual,169,Contract End Date,Contract End Date,
Telarus-Unite Private Networks,Telarus,Unite Private Networks,2425,Residual,169,Contract End Date,Contract End Date,
Telarus-WiLine,Telarus,WiLine,1956,Residual,169,Contract End Date,Contract End Date,
Telarus-AT&T,Telarus,AT&T,1996,Residual,509,Contract Expiration Date,Contract Expiration Date,
Telarus-Cisco,Telarus,Cisco,2578,Residual,509,Contract Expiration Date,Contract Expiration Date,
Telarus-Cox Communications,Telarus,Cox Communications,2570,Residual,509,Contract Expiration Date,Contract Expiration Date,
Telarus-DataBank,Telarus,DataBank,1873,Residual,509,Contract Expiration Date,Contract Expiration Date,
Telarus-Uniti Fiber,Telarus,Uniti Fiber,2350,Residual,509,Contract Expiration Date,Contract Expiration Date,
Telarus-Netwolves,Telarus,Netwolves,1610,Residual,320,Contract Remaining,Contract Remaining,
Telarus-Unite Private Networks,Telarus,Unite Private Networks,2425,Residual,320,Contract Remaining,Contract Remaining,
Telarus-AT&T,Telarus,AT&T,1996,Residual,177,Contract Start Date,Contract Start Date,
Telarus-Brightfin,Telarus,Brightfin,1742,Residual,177,Contract Start Date,Contract Start Date,
Telarus-DataBank,Telarus,DataBank,1873,Residual,177,Contract Start Date,Contract Start Date,
Telarus-GWI (Great Works Internet),Telarus,GWI (Great Works Internet),1801,Residual,177,Contract Start Date,Contract Start Date,
Telarus-Netrio,Telarus,Netrio,2575,Residual,177,Contract Start Date,Contract Start Date,
Telarus-Open Systems,Telarus,Open Systems,2342,Residual,177,Contract Start Date,Contract Start Date,
Telarus-Open Systems UK,Telarus,Open Systems UK,2343,Residual,177,Contract Start Date,Contract Start Date,
Telarus-Tellennium Inc,Telarus,Tellennium Inc,2437,Residual,177,Contract Start Date,Contract Start Date,
Telarus-TPx,Telarus,TPx,2529,Residual,177,Contract Start Date,Contract Start Date,
Telarus-Unite Private Networks,Telarus,Unite Private Networks,2425,Residual,177,Contract Start Date,Contract Start Date,
Telarus-AT&T,Telarus,AT&T,1996,Residual,421,Contract Term,Contract Term,
Telarus-Avaya,Telarus,Avaya,2560,Residual,421,Contract Term,Contract Term,
Telarus-Avaya ANZ,Telarus,Avaya ANZ,2558,Residual,421,Contract Term,Contract Term,
Telarus-Avaya CAD,Telarus,Avaya CAD,2559,Residual,421,Contract Term,Contract Term,
Telarus-Avaya UK,Telarus,Avaya UK,2456,Residual,421,Contract Term,Contract Term,
Telarus-BullsEye,Telarus,BullsEye,2235,Residual,421,Contract Term,Contract Term,
Telarus-China Telecom,Telarus,China Telecom,2172,Residual,421,Contract Term,Contract Term,
Telarus-Equinix,Telarus,Equinix,1596,Residual,421,Contract Term,Contract Term,
Telarus-Equinix CAD,Telarus,Equinix CAD,1719,Residual,421,Contract Term,Contract Term,
Telarus-Equinix UK,Telarus,Equinix UK,2024,Residual,421,Contract Term,Contract Term,
Telarus-Lingo,Telarus,Lingo,2230,Residual,421,Contract Term,Contract Term,
Telarus-Net2Phone,Telarus,Net2Phone,2594,Residual,421,Contract Term,Contract Term,
Telarus-Net2Phone,Telarus,Net2Phone,2595,Residual,421,Contract Term,Contract Term,
Telarus-Nextiva,Telarus,Nextiva,2256,Residual,421,Contract Term,Contract Term,
Telarus-Nextiva CAD,Telarus,Nextiva CAD,1541,Residual,421,Contract Term,Contract Term,
Telarus-RingCentral,Telarus,RingCentral,2115,Residual,421,Contract Term,Contract Term,
Telarus-RingCentral ANZ,Telarus,RingCentral ANZ,1644,Residual,421,Contract Term,Contract Term,
Telarus-RingCentral CAD,Telarus,RingCentral CAD,1559,Residual,421,Contract Term,Contract Term,
Telarus-Ringcentral EURO,Telarus,Ringcentral EURO,2564,Residual,421,Contract Term,Contract Term,
Telarus-RingCentral UK,Telarus,RingCentral UK,1638,Residual,421,Contract Term,Contract Term,
Telarus-Unite Private Networks,Telarus,Unite Private Networks,2425,Residual,421,Contract Term,Contract Term,
Telarus-Vonage,Telarus,Vonage,2563,Residual,421,Contract Term,Contract Term,
Telarus-Vonage CAD,Telarus,Vonage CAD,2550,Residual,421,Contract Term,Contract Term,
Telarus-MetTel,Telarus,MetTel,2533,Residual,191,Contract Type,Contract Type,
Telarus-MetTel CAD,Telarus,MetTel CAD,2532,Residual,191,Contract Type,Contract Type,
Telarus-TPx,Telarus,TPx,2529,Residual,191,Contract Type,Contract Type,
Telarus-Arelion,Telarus,Arelion,1746,Residual,349,Conversion,Conversion,
Telarus-Arelion UK,Telarus,Arelion UK,2028,Residual,349,Conversion,Conversion,
Telarus-Dialpad,Telarus,Dialpad,2489,Residual,349,Conversion,Conversion,
Telarus-Dialpad ANZ,Telarus,Dialpad ANZ,2486,Residual,349,Conversion,Conversion,
Telarus-Dialpad CAD,Telarus,Dialpad CAD,2487,Residual,349,Conversion,Conversion,
Telarus-Dialpad UK,Telarus,Dialpad UK,2488,Residual,349,Conversion,Conversion,
Telarus-CallTower,Telarus,CallTower,2444,Residual,284,Corporate Number,Corporate Number,
Telarus-Optimum Business,Telarus,Optimum Business,1609,Residual,284,Corporate Number,Corporate Number,
Telarus-Optimum Business,Telarus,Optimum Business,2371,Residual,284,Corporate Number,Corporate Number,
Telarus-Optimum Business,Telarus,Optimum Business,2500,Residual,284,Corporate Number,Corporate Number,
Telarus-GTT,Telarus,GTT,2448,Residual,201,CPON,CPON,
Telarus-GTT CAD,Telarus,GTT CAD,2447,Residual,201,CPON,CPON,
Telarus-BullsEye,Telarus,BullsEye,2235,Residual,443,Credit Amount,Credit Amount,
Telarus-GeoLinks,Telarus,GeoLinks,1567,Residual,443,Credit Amount,Credit Amount,
Telarus-TelSynergy,Telarus,TelSynergy,2340,Residual,215,Credits (C),Expected Usage - Adjustment,
Telarus-Zayo,Telarus,Zayo,2404,Residual,215,Credits (C),Expected Usage - Adjustment,
Telarus-Comcast Business,Telarus,Comcast Business,2094,Residual,90,CSG Id,CSG Id,
Telarus-GeoLinks,Telarus,GeoLinks,1567,Residual,441,CTF,CTF,
Telarus-AT&T,Telarus,AT&T,1996,Residual,531,CTN,CTN,
Telarus-Peerless Network Infobip,Telarus,Peerless Network Infobip,2531,Residual,556,Custom Tags,Custom Tags,
Telarus-Level AI,Telarus,Level AI,2141,Residual,491,Customer Billed,Actual Usage,
Telarus-Cisco,Telarus,Cisco,2578,Residual,77,Customer Current on Billing,Customer Current on Billing,
Telarus-Cogent Communications CAD,Telarus,Cogent Communications CAD,2534,Residual,77,Customer Current on Billing,Customer Current on Billing,
Telarus-OmniNet,Telarus,OmniNet,2098,Residual,278,Customer First Name,Do not map,
Telarus-OmniNet CAD,Telarus,OmniNet CAD,2060,Residual,278,Customer First Name,Do not map,
Telarus-Broadvoice,Telarus,Broadvoice,1657,Residual,178,Customer ID,Vendor - Customer ID,
Telarus-Broadvoice,Telarus,Broadvoice,1747,NULL,178,Customer ID,Vendor - Customer ID,
Telarus-Cogent Communications CAD,Telarus,Cogent Communications CAD,2534,Residual,178,Customer ID,Vendor - Customer ID,
Telarus-Crown Castle,Telarus,Crown Castle,1565,Residual,178,Customer ID,Vendor - Customer ID,
Telarus-Crown Castle,Telarus,Crown Castle,1869,Residual,178,Customer ID,Vendor - Customer ID,
Telarus-Crown Castle CAD,Telarus,Crown Castle CAD,1652,Residual,178,Customer ID,Vendor - Customer ID,
Telarus-Masergy,Telarus,Masergy,2044,Residual,178,Customer ID,Vendor - Customer ID,
Telarus-MetTel,Telarus,MetTel,2533,Residual,178,Customer ID,Vendor - Customer ID,
Telarus-MetTel CAD,Telarus,MetTel CAD,2532,Residual,178,Customer ID,Vendor - Customer ID,
Telarus-Optimum Business,Telarus,Optimum Business,1609,Residual,178,Customer ID,Vendor - Customer ID,
Telarus-Optimum Business,Telarus,Optimum Business,2371,Residual,178,Customer ID,Vendor - Customer ID,
Telarus-Optimum Business,Telarus,Optimum Business,2500,Residual,178,Customer ID,Vendor - Customer ID,
Telarus-Powernet,Telarus,Powernet,2047,Residual,178,Customer ID,Vendor - Customer ID,
Telarus-RapidScale,Telarus,RapidScale,2446,Residual,178,Customer ID,Vendor - Customer ID,
Telarus-Telesystem,Telarus,Telesystem,2019,Residual,178,Customer ID,Vendor - Customer ID,
Telarus-OmniNet,Telarus,OmniNet,2098,Residual,279,Customer Last Name,Do not map,
Telarus-OmniNet CAD,Telarus,OmniNet CAD,2060,Residual,279,Customer Last Name,Do not map,
Telarus-Epic io,Telarus,Epic io,2384,Residual,526,Customer Last Payment Date,Do not map,
